"Atendimento";"Placa";"Motivo OS"
"6482132";"TLB3B76";""
"6482131";"SYE5J35";""
"6482130";"SVN0H11";""
"6482129";"SUH5B72";""
"6482128";"TLB3B76";"FURTO/ROUBO VEÍCULO"
"6482127";"SYF5H59";""
"6482126";"SYP3C82";"GUINCHO"
"6482125";"SYG0C07";""
"6482124";"SSV8E67";""
"6482123";"GET8A63";""
"6482122";"SIZ2I67";"GUINCHO"
"6482121";"TIY8G62";""
"6482120";"SVK4D91";""
"6482119";"SYW0I09";"SINISTRO"
"6482116";"SUH5B72";""
"6482115";"SYG4C47";""
"6482114";"SVO9C24";""
"6482113";"TIO6E06";""
"6482111";"SWC6D32";"FURTO/ROUBO VEÍCULO"
"6482110";"SYF5H59";"CORRETIVA"
"6482109";"SSU4I61";"GUINCHO"
"6482108";"TCW2I41";"GUINCHO"
"6482107";"TCW2I41";""
"6482106";"SYE3F31";"FURTO/ROUBO VEÍCULO"
"6482105";"STK1G41";""
"6482104";"FMP2A52";""
"6482103";"SIW9D70";""
"6482102";"SYK5G07";"CORRETIVA"
"6482101";"STK1G41";""
"6482100";"TCW2I41";""
"6482099";"SVN0H11";""
"6482098";"FXJ4G71";"GUINCHO"
"6482096";"SIR5G37";""
"6482095";"TCT0B21";"GUINCHO"
"6482094";"TJH9I36";""
"6482093";"RNF1F18";"CORRETIVA"
"6482092";"SSU4I61";""
"6482091";"SUM0B34";"GUINCHO"
"6482090";"SSU4I61";""
"6482089";"STN0B61";"FURTO/ROUBO VEÍCULO"
"6482088";"TMI4J41";"GUINCHO"
"6482087";"SVJ3I58";"GUINCHO"
"6482086";"SUH5B72";""
"6482085";"TCP3E69";""
"6482084";"STP5D14";""
"6482083";"SYW0I09";"SINISTRO"
"6482082";"STK1G41";""
"6482081";"SSX5F32";""
"6482080";"TDA9J24";""
"6482079";"TCP3E69";""
"6482078";"GCU8A71";"GUINCHO"
"6482077";"SYW0I09";""
"6482076";"SIK7A85";"CORRETIVA"
"6482075";"STE7A48";""
"6482074";"ENU0D91";"GUINCHO"
"6482073";"FXJ4G71";""
"6482072";"SYU8H37";"PREVENTIVA"
"6482071";"SYH7F22";"FURTO/ROUBO VEÍCULO"
"6482070";"SYU8H37";"CORRETIVA"
"6482069";"SYU8H37";"PREVENTIVA"
"6482068";"DCC0E41";""
"6482067";"SYP1B85";""
"6482066";"RNK0C88";""
"6482065";"TIY2I58";""
"6482064";"SIY2C51";""
"6482063";"SUH5B72";"GUINCHO"
"6482062";"RUY9J28";"GUINCHO"
"6482061";"SVA5J93";""
"6482060";"SYT5G21";"SINISTRO"
"6482059";"SYE1A14";""
"6482058";"TDE5H92";""
"6482057";"SSU4I61";"GUINCHO"
"6482056";"TDG9F72";""
"6482055";"FZO3I21";""
"6482054";"SSY2E32";"CORRETIVA"
"6482053";"SYQ2H28";""
"6482052";"EGJ1A15";""
"6482051";"RME9H27";"GUINCHO"
"6482050";"SUG3B20";"PREVENTIVA"
"6482049";"SYP1F96";""
"6482048";"STP5D14";""
"6482047";"TIY2I58";"GUINCHO"
"6482046";"STU5E31";""
"6482045";"TLL3B73";""
"6482044";"EXW1A72";""
"6482043";"ELC5J82";""
"6482042";"SWK5I45";"CORRETIVA"
"6482041";"ENU0D91";""
"6482040";"SYB2E24";"GUINCHO"
"6482039";"STP5D14";""
"6482038";"OPP4F59";""
"6482037";"SVZ5F12";""
"6482036";"FYQ7C32";""
"6482035";"SVO9C24";""
"6482034";"TCP4I86";""
"6482033";"TJT1J88";""
"6482032";"RUA9F18";"CORRETIVA"
"6482031";"SYE1E20";""
"6482030";"SSY0E95";""
"6482029";"RUH4F09";"CORRETIVA"
"6482028";"SVX8H34";"GUINCHO"
"6482027";"ENU0D91";""
"6482026";"RUA9F18";"CORRETIVA"
"6482025";"TCP4I86";""
"6482024";"SYE1E20";"GUINCHO"
"6482023";"SIX4J85";""
"6482022";"SYL0A88";""
"6482021";"EGJ1A15";""
"6482020";"RUH4F09";""
"6482019";"STA1J93";""
"6482018";"SUZ1G91";"GUINCHO"
"6482017";"TIZ2G57";"GUINCHO"
"6482016";"SUG5B92";""
"6482015";"STC5A77";"GUINCHO"
"6482014";"SJA3F49";"PREVENTIVA"
"6482013";"EZU8F16";"CORRETIVA"
"6482012";"STC8A22";""
"6482011";"RMR0B23";"PREVENTIVA"
"6482010";"SYP3H21";"PREVENTIVA"
"6482009";"SUW4H30";"GUINCHO"
"6482008";"RNW0J98";"PREVENTIVA"
"6482007";"GAE9G72";""
"6482006";"SYZ3A91";"CORRETIVA"
"6482005";"STD9H73";"PREVENTIVA"
"6482004";"SYQ2H28";""
"6482002";"GHM6H73";""
"6482001";"SIN6G84";"GUINCHO"
